"species_clean","order_clean","family_clean","n_records","n_georeferenced","n_locations","year_range","latest_year","n_provinces","countries","in_focal","percent_records","cumulative_percent","note"
"Crocidura sp.","Eulipotyphla","Soricidae",13,13,5,"2007 - 2009",2009,4,"KG",FALSE,0.17,94.3,""
"Allactodipus bobrinskii","Rodentia","Dipodidae",12,7,6,"1959 - 2026",2026,7,"TM, UZ",FALSE,0.16,94.4,""
"Apodemus witherbyi","Rodentia","Muridae",12,0,0,"1989 - 1989",1989,2,"TM",FALSE,0.16,94.6,"collection records only, none georeferenced"
"Marmota menzbieri","Rodentia","Sciuridae",12,8,8,"1923 - 2025",2025,6,"KG, KZ, UZ",TRUE,0.16,94.7,""
"Crocidura leucodon","Eulipotyphla","Soricidae",11,6,4,"1905 - 1989",1989,2,"KZ, TJ, TM",TRUE,0.15,94.9,""
"Myodes centralis","Rodentia","Cricetidae",11,4,1,"1906 - 2016",2016,3,"KZ",TRUE,0.15,95,""
"Myodes rutilus","Rodentia","Cricetidae",11,1,1,"1927 - 2016",2016,2,"KZ",TRUE,0.15,95.2,""
"Myospalax myospalax","Rodentia","Spalacidae",11,8,7,"1926 - 2025",2025,2,"KZ",TRUE,0.15,95.3,""
"Ochotona alpina","Lagomorpha","Ochotonidae",11,9,7,"1985 - 2023",2023,3,"KG, KZ",TRUE,0.15,95.5,""
"Pygeretmus platyurus","Rodentia","Dipodidae",11,3,2,"1961 - 1968",1968,3,"KG, KZ, TJ",TRUE,0.15,95.6,""
"Pygeretmus shitkovi","Rodentia","Dipodidae",11,5,2,"1934 - 2016",2016,2,"KZ, UZ",TRUE,0.15,95.8,""
"Sicista subtilis","Rodentia","Dipodidae",11,11,4,"2007 - 2007",2007,2,"KZ",TRUE,0.15,95.9,""
"Allocricetulus eversmanni","Rodentia","Cricetidae",10,4,4,"1914 - 2024",2024,3,"KZ",TRUE,0.13,96,""
"Dryomys sp.","Rodentia","Gliridae",10,10,4,"1923 - 2007",2007,3,"KG, KZ, UZ",TRUE,0.13,96.2,""
"Marmota sp.","Rodentia","Sciuridae",10,1,1,"2022 - 2022",2022,1,"KG, KZ",TRUE,0.13,96.3,""
"Spermophilus nilkaensis","Rodentia","Sciuridae",10,10,10,"1977 - 2026",2026,3,"KG, KZ",TRUE,0.13,96.4,""
"Tamias sibiricus","Rodentia","Sciuridae",10,10,9,"2013 - 2025",2025,2,"KZ",TRUE,0.13,96.6,""
"Blanfordimys afghanus","Rodentia","Cricetidae",9,3,2,"1963 - 1989",1989,2,"TM",FALSE,0.12,96.7,""
"Ochotona opaca","Lagomorpha","Ochotonidae",9,9,5,"2021 - 2025",2025,1,"KZ",TRUE,0.12,96.8,""
"Pteromys volans","Rodentia","Sciuridae",9,9,9,"1927 - 2026",2026,3,"KZ",TRUE,0.12,96.9,""
"Spermophilus major","Rodentia","Sciuridae",9,6,5,"1924 - 2022",2022,5,"KG, KZ",TRUE,0.12,97.1,""
"Ochotona pallasi","Lagomorpha","Ochotonidae",8,6,3,"1989 - 1989",1989,2,"KZ",TRUE,0.11,97.2,""
"Ochotona rufescens","Lagomorpha","Ochotonidae",8,5,5,"1923 - 2017",2017,7,"KZ, TM",TRUE,0.11,97.3,""
"Alticola strelzowi","Rodentia","Cricetidae",7,1,1,"2016 - 2016",2016,2,"KZ",TRUE,0.09,97.4,""
"Cricetulus sp.","Rodentia","Cricetidae",7,3,2,"1922 - 2009",2009,3,"KG, KZ, TJ",TRUE,0.09,97.5,""
"Microtus transcaspicus","Rodentia","Cricetidae",7,1,1,"1949 - 1956",1956,2,"KZ, TM, UZ",TRUE,0.09,97.5,""
"Phodopus sungorus","Rodentia","Cricetidae",7,2,2,"1844 - 2026",2026,5,"KZ",TRUE,0.09,97.6,""
"Calomyscus mystax","Rodentia","Calomyscidae",6,2,2,"1962 - 1999",1999,4,"TM",FALSE,0.08,97.7,""
"Eolagurus luteus","Rodentia","Cricetidae",6,0,0,"1971 - 1971",1971,2,"KZ",TRUE,0.08,97.8,"collection records only, none georeferenced"
"Lepus tibetanus","Lagomorpha","Leporidae",6,6,6,"2013 - 2024",2024,1,"TJ",FALSE,0.08,97.9,""
"Salpingotus crassicauda","Rodentia","Dipodidae",6,3,3,"1961 - 1970",1970,4,"KZ",TRUE,0.08,98,""
"Blanfordimys bucharensis","Rodentia","Cricetidae",5,0,0,"1929 - 1955",1955,1,"TJ, UZ",FALSE,0.07,98,"collection records only, none georeferenced"
"Calomyscus bailwardi","Rodentia","Calomyscidae",5,4,1,"1989 - 1989",1989,2,"TM",FALSE,0.07,98.1,""
"Micromys minutus","Rodentia","Muridae",5,1,1,"1915 - 2016",2016,2,"KZ",TRUE,0.07,98.2,""
"Ochotona pusilla","Lagomorpha","Ochotonidae",5,3,2,"1937 - 1989",1989,4,"KZ",TRUE,0.07,98.2,""
"Sorex buchariensis","Eulipotyphla","Soricidae",5,0,0,"Inf - -Inf",NA,1,"TJ, UZ",FALSE,0.07,98.3,"collection records only, none georeferenced"
"Alticola macrotis","Rodentia","Cricetidae",4,3,1,"2005 - 2005",2005,2,"KZ",TRUE,0.05,98.3,""
"Cricetulus barabensis","Rodentia","Cricetidae",4,0,0,"Inf - -Inf",NA,1,"KZ",TRUE,0.05,98.4,"collection records only, none georeferenced"
"Crocidura serezkyensis","Eulipotyphla","Soricidae",4,0,0,"1989 - 1989",1989,1,"TJ",FALSE,0.05,98.5,"collection records only, none georeferenced"
"Ellobius fuscocapillus","Rodentia","Cricetidae",4,2,2,"1991 - 1993",1993,2,"TM",FALSE,0.05,98.5,""
"Eremodipus lichtensteini","Rodentia","Dipodidae",4,1,1,"1990 - 2016",2016,3,"KZ, TM, UZ",TRUE,0.05,98.6,""
"Myodes rufocanus","Rodentia","Cricetidae",4,1,1,"1927 - 1927",1927,1,"KZ",TRUE,0.05,98.6,""
"Paradipus ctenodactylus","Rodentia","Dipodidae",4,0,0,"1937 - 1937",1937,1,"TM, UZ",FALSE,0.05,98.7,"collection records only, none georeferenced"
"Sorex sp.","Eulipotyphla","Soricidae",4,0,0,"Inf - -Inf",NA,2,"TJ, UZ",FALSE,0.05,98.7,"collection records only, none georeferenced"
"Allactaga vinogradovi","Rodentia","Dipodidae",3,0,0,"Inf - -Inf",NA,1,"KG, KZ",TRUE,0.04,98.8,"collection records only, none georeferenced"
"Apodemus flavicollis","Rodentia","Muridae",3,1,1,"1924 - 2023",2023,2,"KZ, UZ",TRUE,0.04,98.8,""
"Blanfordimys sp.","Rodentia","Cricetidae",3,3,2,"1958 - 1968",1968,1,"TM",FALSE,0.04,98.8,""
"Microtus paradoxus","Rodentia","Cricetidae",3,0,0,"1989 - 1989",1989,2,"TM",FALSE,0.04,98.9,"collection records only, none georeferenced"
"Myospalax sp.","Rodentia","Spalacidae",3,2,2,"1956 - 1956",1956,1,"KZ",TRUE,0.04,98.9,""
"Pygeretmus sp.","Rodentia","Dipodidae",3,3,3,"1928 - 1928",1928,1,"KZ",TRUE,0.04,99,""
"Scarturus","Rodentia","Dipodidae",3,0,0,"Inf - -Inf",NA,1,"KZ, UZ",TRUE,0.04,99,"collection records only, none georeferenced"
